symbol_original,symbol,date,close,change_1d,rsi,macd,macd_signal,macd_hist,bb_pctb,bb_bandwidth,support,resistance,hi_52w,lo_52w,td_last_signal,td_curr_buy_count,td_curr_sell_count,tags,local_score,llm_stance,llm_score,llm_summary,final_score,decision
GS,GS,2025-10-31,789.37,-0.1,50.9834,2.8728,0.3371,2.5358,0.7392,0.0809,785.53,790.16,806.32,462.22,BUY9,1,0,RSI_neutral MACD_bullish inside_bands near_52w_high on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,3,neutral,0,"The stock is currently near resistance at 790.16 and on support at 785.53, with an RSI of 50.98 indicating neutral momentum. The MACD is bullish, and the TD indicator shows a recent buy signal, but the price is within the Bollinger Bands, suggesting consolidation.",3,BUY
U,U,2025-10-31,37.9,4.899,52.3839,-0.709,-0.9801,0.2711,0.7605,0.1242,36.88,38.34,46.53,16.75,BUY9,2,0,RSI_neutral MACD_bullish inside_bands near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,3,neutral,0,"The stock is currently near resistance at 38.34 with a close of 37.9. RSI is neutral at 52.38, while MACD shows a bullish trend despite being negative. The price is inside Bollinger Bands, indicating consolidation, with support at 36.88.",3,BUY
UBER.K,UBER,2025-10-31,96.5,0.0104,59.3799,0.0169,-0.2719,0.2888,0.6603,0.0902,95.43,96.53,100.1,59.93,BUY9,0,7,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_buy9 TD_sell_perfected TD_sell_count_7,3,neutral,0,"The stock is currently at 96.5, near resistance at 96.53 and above support at 95.43. RSI is neutral at 59.38, while MACD shows bullish momentum. The price is inside Bollinger Bands, indicating consolidation, with a recent TD signal of BUY9 but a higher sell count.",3,BUY
UPST.O,UPST,2025-10-31,47.52,5.694,46.0873,-2.5932,-2.7674,0.1742,0.1903,0.1751,47.39,47.63,88.77,34.8,BUY9,3,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_buy9 TD_sell_perfected,3,neutral,0,"The momentum is mixed with RSI at 46.09 indicating neutrality, while MACD shows a slight bullish divergence. Price is near support at 47.39 and resistance at 47.63, with the current close at 47.52, and the TD indicator suggests a recent buy signal.",3,BUY
AIRO.O,AIRO,2025-10-31,16.36,0.0612,35.535,-0.886,-0.7586,-0.1274,0.1298,0.2657,16.35,17.48,31.0,16.35,BUY9,8,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth near_52w_low on_support TD_recent_buy9 TD_buy_perfected TD_buy_count_8,3,bearish,-1,"The momentum is bearish with an RSI of 35.54 and a MACD below its signal line, indicating weakness. The price is near the 52-week low and on support at 16.35, while resistance is at 17.48. The TD indicator shows a recent buy signal, but overall sentiment remains negative.",2,BUY
KSCP.O,KSCP,2025-10-31,5.12,0.9862,36.8,-0.2225,-0.1055,-0.117,0.1403,0.4276,5.08,5.27,27.76,2.59,BUY9,3,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_buy9 TD_buy_perfected,2,neutral,0,"The stock is currently at support near 5.08 with a close of 5.12, indicating potential stabilization. RSI is low at 36.8 and MACD remains bearish, while the TD indicator shows a recent buy signal. Price is inside Bollinger Bands, suggesting high volatility.",2,BUY
RBLX.K,RBLX,2025-10-31,113.72,0.6372,36.7952,-2.3915,-0.5886,-1.803,-0.0986,0.193,113.0,118.49,141.56,43.14,BUY9,2,0,RSI_neutral MACD_bearish near_lower_band on_support TD_recent_buy9 TD_buy_perfected TD_sell_perfected,2,neutral,0,"The momentum is weak with RSI at 36.8 and a bearish MACD. The price is near the lower Bollinger Band and on support at 113.0, while resistance is at 118.49, indicating a consolidation phase.",2,BUY
VRT,VRT,2025-10-31,192.86,-0.4645,61.4849,11.3844,10.6896,0.6948,0.8267,0.2424,190.57,192.9,199.27,59.41,BUY9,1,0,RSI_neutral MACD_bullish inside_bands near_52w_high on_support near_resistance TD_recent_buy9 TD_sell_perfected,2,neutral,0,"The momentum is stable with RSI at 61.48 and MACD showing bullish characteristics. The price is near resistance at 192.9 and support at 190.57, while trading within Bollinger Bands, indicating a consolidation phase.",2,BUY
AFRM.O,AFRM,2025-10-31,71.88,4.3251,47.8377,-1.5568,-1.6585,0.1017,0.3594,0.146,71.14,73.06,92.18,35.75,SELL9,3,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected,1,neutral,0,"The stock is currently at support near 71.14 and close to resistance at 73.06, with an RSI of 47.84 indicating neutral momentum. The MACD shows a slight bullish divergence, but the TD indicator has recently signaled a sell. Price is within Bollinger Bands, suggesting consolidation.",1,HOLD
BLSH.K,BLSH,2025-10-31,50.57,1.2412,28.5782,-2.8328,-2.0367,-0.7961,0.1511,0.3687,50.12,52.35,74.63,49.01,BUY9,3,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_buy9 TD_buy_perfected,3,bearish,-2,"The momentum is bearish with an RSI indicating oversold conditions at 28.58 and a MACD below its signal line. Price is near support at 50.12, while the Bollinger Bands suggest high volatility; the TD indicator shows a recent buy signal but overall trend remains weak.",1,HOLD
CRCL.K,CRCL,2025-10-31,126.98,3.4798,41.8946,-1.8773,-1.0985,-0.7788,0.2523,0.2548,126.49,129.05,263.45,83.23,BUY9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_buy9 TD_buy_perfected,1,neutral,0,"The momentum is neutral with RSI at 41.89 and MACD indicating bearish conditions. Price is currently on support at 126.49 and near resistance at 129.05, while trading within Bollinger Bands, suggesting high volatility.",1,HOLD
HIMS.K,HIMS,2025-10-31,45.46,3.1775,36.8883,-2.2552,-1.2473,-1.0079,0.1815,0.3961,44.06,48.33,68.74,18.83,BUY9,8,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_buy9 TD_buy_perfected TD_buy_count_8,1,neutral,0,"The momentum is weak with an RSI of 36.89 and a bearish MACD. The price is near support at 44.06 and below resistance at 48.33, while trading within Bollinger Bands, indicating high volatility but no clear trend direction.",1,HOLD
LCID.O,LCID,2025-10-31,17.75,1.255,19.5652,-1.1078,-0.819,-0.2888,0.1874,0.3675,17.53,18.11,34.8,16.16,BUY9,8,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_buy9 TD_buy_perfected TD_buy_count_8,3,bearish,-2,"The RSI indicates oversold conditions at 19.57, while the MACD remains bearish. Price is near support at 17.53, with resistance at 18.11, and the Bollinger Bands suggest high volatility, indicating a weak trend overall.",1,HOLD
LLY,LLY,2025-10-31,862.86,2.1741,64.5273,15.2896,14.603,0.6866,1.0246,0.0828,843.63,864.9,929.72,625.65,BUY9,0,2,RSI_neutral MACD_bullish near_upper_band near_resistance TD_recent_buy9 TD_sell_perfected,1,neutral,0,"The stock is currently near its upper Bollinger Band and resistance level, with an RSI indicating overbought conditions. The MACD shows bullish momentum, but the TD indicators suggest a recent sell signal, indicating mixed signals in the current trend.",1,HOLD
MSFT.O,MSFT,2025-10-31,517.81,-1.5121,53.289,4.0456,3.5708,0.4749,0.3873,0.0669,515.74,517.93,542.07,354.56,SELL9,1,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected,1,neutral,0,"MSFT is currently experiencing a neutral momentum with an RSI of 53.29 and a bullish MACD. The price is near support at 515.74 and resistance at 517.93, while trading within Bollinger Bands, indicating a consolidation phase.",1,HOLD
RXRX.O,RXRX,2025-10-31,5.52,-2.3009,49.9058,0.1357,0.2208,-0.0851,0.26,0.2707,5.51,5.53,10.87,3.97,BUY9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_buy9 TD_buy_perfected,1,neutral,0,"The stock is currently at 5.52, slightly below the mid-Bollinger band and near support at 5.51. RSI is neutral at 49.91, while MACD shows a bearish divergence. The TD indicator has a recent buy signal but overall momentum appears mixed.",1,HOLD
SMR,SMR,2025-10-31,44.87,6.2012,49.8082,0.6118,0.5139,0.0979,0.6738,0.4001,44.44,45.93,53.43,12.6,SELL9,0,5,RSI_neutral MACD_bullish inside_bands high_volatility_bandwidth on_support TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_5,1,neutral,0,"The stock is currently on support at 44.44 with a close of 44.87, showing neutral RSI and a bullish MACD. The price is within Bollinger Bands, indicating high volatility, while the TD indicator shows a recent sell signal, suggesting caution.",1,HOLD
TOL,TOL,2025-10-31,134.95,1.0256,67.2676,-0.1658,-0.2031,0.0373,0.5245,0.1054,133.58,137.2,167.8,90.5,SELL9,3,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected,1,neutral,0,"The stock is currently showing a neutral momentum with an RSI of 67.27, indicating potential overbought conditions. The MACD is slightly bearish, while the price is near resistance at 137.2 and on support at 133.58, with Bollinger Bands indicating it is trading within the bands.",1,HOLD
VOYG.K,VOYG,2025-10-31,30.58,1.1243,44.9627,-0.2114,0.2103,-0.4217,0.1597,0.224,30.24,30.77,56.48,27.64,BUY9,3,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected,1,neutral,0,"The momentum is neutral with an RSI of 44.96 and a bearish MACD. The price is near support at 30.24 and resistance at 30.77, while trading within Bollinger Bands, indicating consolidation.",1,HOLD
APP.O,APP,2025-10-31,637.33,2.6925,61.3959,8.2333,6.1429,2.0904,0.8305,0.1727,626.82,643.1,718.54,159.11,SELL9,1,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,0,neutral,0,"The stock is currently near resistance at 643.1 and on support at 626.82, with an RSI of 61.4 indicating neutral momentum. The MACD is bullish, but the TD indicator shows a recent sell signal, suggesting mixed signals overall.",0,HOLD
ARM.O,ARM,2025-10-31,169.82,2.6413,48.0558,4.9654,5.7132,-0.7478,0.5895,0.1324,168.16,170.66,179.93,85.82,BUY9,2,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,0,neutral,0,"The stock is currently at 169.82, showing a slight upward momentum with a 2.64% change. RSI is neutral at 48.06, while MACD indicates bearish momentum. Key levels include support at 168.16 and resistance at 170.66, with the price positioned inside Bollinger Bands.",0,HOLD
BA,BA,2025-10-31,201.02,0.4698,32.1112,-2.606,-1.3017,-1.3043,-0.0734,0.1183,200.32,201.31,237.38,136.59,BUY9,3,0,RSI_neutral MACD_bearish near_lower_band on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,1,bearish,-1,"The stock is currently near support at 200.32 and the lower Bollinger Band at 202.89, indicating potential weakness. RSI is low at 32.11 and MACD is bearish, suggesting downward momentum. Despite a recent TD buy signal, overall indicators lean towards a bearish outlook.",0,HOLD
BMNR.K,BMNR,2025-10-31,46.65,4.7138,35.6014,-1.3551,-0.5044,-0.8507,0.1601,0.35,44.55,49.95,135.0,4.265,BUY9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_buy9 TD_buy_perfected,1,bearish,-1,"The momentum is bearish with an RSI of 35.6 and a MACD below its signal line, indicating downward pressure. The price is near support at 44.55, while resistance is at 49.95. The Bollinger Bands suggest high volatility, and the TD indicator shows a recent buy signal, but overall sentiment remains negative.",0,HOLD
DELL.K,DELL,2025-10-31,162.01,0.6211,61.5508,6.0193,5.6228,0.3965,0.7938,0.1557,161.01,164.53,164.88,71.63,SELL9,1,0,RSI_neutral MACD_bullish inside_bands near_52w_high on_support near_resistance TD_recent_sell9 TD_buy_perfected,0,neutral,0,"The stock is near its 52-week high and currently on support at 161.01, with resistance at 164.53. RSI indicates neutral momentum while MACD is bullish. The TD indicator shows a recent sell signal, suggesting caution despite the overall strength.",0,HOLD
FCX,FCX,2025-10-31,41.7,-0.0719,41.6409,-0.062,-0.1748,0.1128,0.5306,0.0723,41.61,41.87,48.58,29.15,SELL9,0,4,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,0,neutral,0,"The momentum is neutral with an RSI of 41.64 and a MACD showing a bearish crossover. The price is near support at 41.61 and resistance at 41.87, while trading within Bollinger Bands, indicating indecision in the market.",0,HOLD
FIG,FIG,2025-10-31,49.84,2.0475,19.3288,-2.8148,-2.1825,-0.6323,0.1843,0.4145,48.84,53.15,122.0,48.84,BUY9,8,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth near_52w_low TD_recent_buy9 TD_buy_count_8,2,bearish,-2,"The momentum is bearish with an RSI of 19.33 indicating oversold conditions, and a MACD below zero. The price is near the 52-week low of 48.84, with support at this level and resistance at 53.15, while the Bollinger Bands suggest high volatility.",0,HOLD
GEMI.O,GEMI,2025-10-31,18.35,4.9171,26.4325,-1.9856,-1.9307,-0.0549,0.1877,0.4523,17.49,20.33,32.52,17.49,BUY9,3,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth TD_recent_buy9 TD_buy_perfected,2,bearish,-2,"The momentum is bearish with an RSI indicating oversold conditions at 26.43 and a MACD below its signal line. The price is near support at 17.49, while resistance is at 20.33. Despite a recent TD buy signal, the overall indicators suggest weakness in the trend.",0,HOLD
HOOD.O,HOOD,2025-10-31,146.78,6.3084,54.9869,3.8245,3.7479,0.0766,0.7543,0.2001,144.26,148.67,152.46,23.49,SELL9,0,1,RSI_neutral MACD_bullish inside_bands near_52w_high on_support near_resistance TD_recent_sell9 TD_buy_perfected,0,neutral,0,"The momentum is neutral with RSI at 54.99 and MACD showing a slight bullish trend. The price is near resistance at 148.67 and support at 144.26, while currently trading inside Bollinger Bands, indicating a consolidation phase.",0,HOLD
ISRG.O,ISRG,2025-10-31,534.28,0.8037,81.9698,24.9709,17.7595,7.2113,0.7687,0.4014,533.71,538.16,610.45,429.59,SELL9,3,0,RSI_overbought MACD_bullish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_sell9 TD_buy_perfected,0,neutral,0,"The stock is currently experiencing strong momentum with an RSI of 81.97 indicating overbought conditions. It is trading near support at 533.71 and resistance at 538.16, while the MACD remains bullish. The TD indicator shows a recent sell signal, suggesting caution despite the overall strength.",0,HOLD
LAC,LAC,2025-10-31,5.5,-2.1352,29.1607,-0.0226,0.3651,-0.3877,0.1502,0.6857,3.22,6.72,10.05,2.34,BUY9,8,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth TD_recent_buy9 TD_buy_perfected TD_buy_count_8,2,bearish,-2,"The stock shows bearish momentum with an RSI of 29.16 indicating oversold conditions, while the MACD is negative and below its signal line. Price is trading near the lower Bollinger Band, with key support at 3.22 and resistance at 6.72, suggesting potential downward pressure.",0,HOLD
LEN,LEN,2025-10-31,123.77,-0.29,66.1064,-0.347,-0.4903,0.1433,0.4761,0.1093,121.91,124.32,172.9526,102.76,SELL9,3,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,0,neutral,0,"The stock is currently near resistance at 124.32 and on support at 121.91, with an RSI of 66.11 indicating neutral momentum. The MACD is bearish, while the TD signals a recent sell, suggesting mixed signals in the trend.",0,HOLD
MARA.O,MARA,2025-10-31,18.27,2.8716,41.3063,0.0612,0.4314,-0.3702,0.1656,0.2386,18.26,18.35,27.42,10.52,BUY9,8,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected TD_buy_count_8,0,neutral,0,"MARA is currently showing a neutral momentum with an RSI of 41.31 and a bearish MACD. The price is near support at 18.26 and resistance at 18.35, while trading within Bollinger Bands, indicating a lack of strong directional movement.",0,HOLD
MSTR.O,MSTR,2025-10-31,269.51,5.8687,33.7735,-15.8079,-13.5102,-2.2977,0.1928,0.313,254.57,293.61,473.83,222.99,BUY9,3,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_buy9 TD_buy_perfected,1,bearish,-1,"The momentum is bearish with a low RSI of 33.77 and a negative MACD, indicating downward pressure. The price is near support at 254.57, while resistance is at 293.61. The TD indicator shows a recent buy signal, but overall indicators suggest caution.",0,HOLD
NFLX.O,NFLX,2025-10-31,1118.86,2.742,32.8058,-28.6237,-20.5571,-8.0666,0.2797,0.1892,1110.0,1155.41,1339.13,753.74,BUY9,0,1,RSI_neutral MACD_bearish inside_bands on_support TD_recent_buy9 TD_buy_perfected TD_sell_perfected,1,bearish,-1,"The momentum is bearish with a low RSI of 32.81 and a negative MACD, indicating downward pressure. The price is near support at 1110.0, while resistance is at 1155.41. The TD indicator shows a recent buy signal, but overall indicators suggest weakness.",0,HOLD
NVO,NVO,2025-10-31,49.46,-1.1591,13.1193,-1.7968,-1.1559,-0.6409,0.0361,0.2191,47.07,51.08,113.24,45.38,BUY9,8,0,RSI_oversold MACD_bearish near_lower_band TD_recent_buy9 TD_buy_count_8,2,bearish,-2,"The momentum is strongly bearish with an RSI of 13.12 indicating oversold conditions and a MACD below zero. The price is near the lower Bollinger Band at 49.0245, with support at 47.07 and resistance at 51.08, while the TD indicator shows a recent buy signal but with a high sell count.",0,HOLD
OPEN.O,OPEN,2025-10-31,7.77,5.8583,55.814,0.04,0.0687,-0.0287,0.519,0.3507,7.34,8.06,10.52,0.512,BUY9,2,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth TD_recent_buy9 TD_buy_perfected TD_sell_perfected,0,neutral,0,"The stock is experiencing moderate momentum with an RSI of 55.81 and a MACD indicating bearish divergence. It is trading near the middle of the Bollinger Bands, with support at 7.34 and resistance at 8.06, suggesting a balanced outlook.",0,HOLD
ORCL.K,ORCL,2025-10-31,262.61,2.2266,28.6212,-4.4331,-0.5022,-3.931,0.0861,0.1955,256.89,283.33,328.33,122.82,BUY9,3,0,RSI_oversold MACD_bearish near_lower_band TD_recent_buy9 TD_buy_perfected TD_sell_perfected,2,bearish,-2,"The momentum is bearish with an RSI indicating oversold conditions at 28.62 and a MACD showing a significant negative divergence. The price is near the lower Bollinger Band at 257.80, with support at 256.89 and resistance at 283.33, while the TD indicator shows a recent buy signal but lacks strong bullish momentum.",0,HOLD
OSCR.K,OSCR,2025-10-31,18.0,-0.4975,36.9848,-0.1582,0.2108,-0.369,0.0666,0.2488,17.77,18.44,22.47,11.6,BUY9,6,0,RSI_neutral MACD_bearish near_lower_band on_support TD_recent_buy9 TD_sell_perfected TD_buy_count_6,1,bearish,-1,"The momentum is bearish with an RSI of 36.98 and a MACD indicating downward pressure. The price is near the lower Bollinger Band and on support at 17.77, while resistance is at 18.44, suggesting a lack of upward momentum.",0,HOLD
PFE,PFE,2025-10-31,24.65,1.4821,48.2143,-0.1273,-0.0762,-0.0511,0.4166,0.0957,24.6,24.7,28.52,21.59,BUY9,5,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected TD_buy_count_5,0,neutral,0,"The momentum is neutral with an RSI of 48.21 and a bearish MACD. The price is near support at 24.6 and resistance at 24.7, while trading within Bollinger Bands, indicating a lack of strong directional movement.",0,HOLD
PLUG.O,PLUG,2025-10-31,2.69,1.5094,15.4286,0.0089,0.1539,-0.1451,0.1641,0.5744,2.65,2.93,4.13,0.7,BUY9,8,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth on_support TD_recent_buy9 TD_buy_perfected TD_sell_perfected TD_buy_count_8,2,bearish,-2,"The RSI indicates oversold conditions at 15.43, while the MACD shows bearish momentum with a negative histogram. Price is near support at 2.65, with resistance at 2.93, and the TD sequential shows a recent buy signal but lacks strong bullish momentum.",0,HOLD
V,V,2025-10-31,340.74,-1.2434,47.3749,-0.1514,0.2359,-0.3873,0.1839,0.0438,339.35,342.15,373.31,289.85,BUY9,3,0,RSI_neutral MACD_bearish inside_bands bollinger_squeeze on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,0,neutral,0,"The momentum is neutral with RSI at 47.37 and MACD showing bearish signals. The price is near support at 339.35 and resistance at 342.15, while Bollinger Bands indicate a squeeze, suggesting potential volatility ahead.",0,HOLD
XOM,XOM,2025-10-31,114.36,-0.2877,58.4127,0.6941,0.5456,0.1485,0.6045,0.0593,113.8,114.69,121.93,99.93,SELL9,2,0,RSI_neutral MACD_bullish inside_bands on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected,0,neutral,0,"XOM is currently trading near resistance at 114.69 with a close of 114.36. The RSI indicates neutral momentum at 58.41, while the MACD shows bullish momentum. The price is above support at 113.8 and inside the Bollinger Bands, suggesting a consolidation phase.",0,HOLD
XYZ,XYZ,2025-10-31,75.94,2.7327,52.2616,0.1846,0.3959,-0.2113,0.3485,0.1138,75.92,76.12,98.92,46.53,BUY9,3,0,RSI_neutral MACD_bearish inside_bands on_support near_resistance TD_recent_buy9 TD_buy_perfected TD_sell_perfected,0,neutral,0,"The stock is currently at 75.94, just above support at 75.92 and near resistance at 76.12. RSI is neutral at 52.26, while MACD shows bearish momentum. The price is inside Bollinger Bands, indicating a lack of strong directional movement.",0,HOLD
FIGR.O,FIGR,2025-10-31,39.6,-2.607,39.3411,0.4371,0.817,-0.3799,0.2712,0.2749,38.46,40.03,49.17,31.11,BUY9,1,0,RSI_neutral MACD_bearish inside_bands high_volatility_bandwidth near_resistance TD_recent_buy9,-1,neutral,0,"The momentum is currently neutral with an RSI of 39.34 and a bearish MACD histogram. The price is near resistance at 40.03 and above support at 38.46, while trading within Bollinger Bands, indicating potential volatility.",-1,HOLD
MP,MP,2025-10-31,63.09,-2.8189,17.6089,-2.2782,-0.0679,-2.2103,0.1966,0.5351,62.72,63.15,98.65,15.6,BUY9,8,0,RSI_oversold MACD_bearish inside_bands high_volatility_bandwidth on_support near_resistance TD_recent_buy9 TD_buy_count_8,1,bearish,-2,"The stock is exhibiting strong bearish momentum with an RSI of 17.61 indicating oversold conditions, and a MACD that is significantly negative. It is currently near support at 62.72 and resistance at 63.15, while trading within the Bollinger Bands, suggesting high volatility.",-1,HOLD
MRVL.O,MRVL,2025-10-31,93.74,5.8372,57.2428,2.54,2.4245,0.1155,0.9984,0.1393,93.0,94.9,126.06,49.38,SELL9,0,5,RSI_neutral MACD_bullish near_upper_band on_support near_resistance TD_recent_sell9 TD_buy_perfected TD_sell_perfected TD_sell_count_5,-1,neutral,0,"The momentum is mixed with a neutral RSI and a bullish MACD. The price is near the upper Bollinger Band and close to resistance at 94.9, while support is at 93.0. The TD indicator shows a recent sell signal, indicating caution.",-1,HOLD
